Subject,Time,Energetic
1,Monday,1
2,Monday,0
3,Monday,0
4,Monday,0
5,Monday,1
6,Monday,0
7,Monday,0
8,Monday,0
9,Monday,0
10,Monday,0
11,Monday,1
12,Monday,1
13,Monday,0
14,Monday,1
15,Monday,0
16,Monday,0
17,Monday,0
18,Monday,0
19,Monday,1
20,Monday,0
1,Wednesday,1
2,Wednesday,1
3,Wednesday,0
4,Wednesday,1
5,Wednesday,0
6,Wednesday,1
7,Wednesday,1
8,Wednesday,0
9,Wednesday,1
10,Wednesday,1
11,Wednesday,1
12,Wednesday,1
13,Wednesday,0
14,Wednesday,0
15,Wednesday,1
16,Wednesday,1
17,Wednesday,0
18,Wednesday,1
19,Wednesday,0
20,Wednesday,1
1,Friday,1
2,Friday,1
3,Friday,1
4,Friday,0
5,Friday,0
6,Friday,1
7,Friday,1
8,Friday,1
9,Friday,1
10,Friday,0
11,Friday,0
12,Friday,1
13,Friday,0
14,Friday,1
15,Friday,1
16,Friday,0
17,Friday,1
18,Friday,1
19,Friday,1
20,Friday,1
