Subject,Neuroticism,Extraversion,Openness,Agreeableness,Conscientiousness
1,2.47917,4.20833,3.9375,3.95833,3.45833
2,2.60417,3.1875,3.95833,3.39583,3.22917
3,2.8125,2.89583,3.41667,2.75,3.5
4,2.89583,3.5625,3.52083,3.16667,2.79167
5,3.02083,3.33333,4.02083,3.20833,2.85417
6,2.52083,3.29167,3.4375,3.70833,2.5
7,2.35417,4.41667,4.58333,3.0625,3.33333
8,2.52083,3.5,2.89583,3.66667,3.0625
9,3.10417,3.8125,4.0625,3.77083,2.83333
10,2.6875,3.54708,3.78667,3.35417,3.10417
11,2.625,3.45833,2.89583,3.45833,3.375
12,2.375,3.77083,3.16667,3.5,3.52083
13,3.0625,3.41667,3.77083,3.8125,3.125
14,3.125,2.52083,2.64583,3.75,3.20833
15,2.58333,3.02083,3.5,3.41667,3.58333
16,2.97917,3.3125,3.35417,3.64583,3.47917
17,2.79167,3.79167,3.375,3.95833,2.72917
18,2.5625,3.54167,3.875,3.85417,3.3125
19,2.4375,3.72917,2.91188,3.625,2.77083
20,3.0625,3.25,3.3125,3.48875,3.5
21,3.22917,2.91667,3.41667,2.9375,2.77083
22,2.41667,3.4375,3.77083,3.5,3.5625
23,2.85417,3.64583,3.33333,3.10417,3.5
24,2.875,4.08333,3.3125,3,2.60417
25,2.85417,3.5625,4.04167,3.75,3.22917
26,2.875,3.58333,3.91667,3.875,3.41667
27,3.125,3.625,3.77083,3.89583,3.125
28,2.75,3.83333,3.8125,2.97917,2.58333
29,3.22917,3.20833,3.60417,3.52083,2.96167
30,2.5625,3.83333,3.41667,3.39583,3.58333
31,2.9375,3.0625,3.79167,3.375,2.85417
32,2.75,3.64583,3.6875,3.29167,3.32104
33,3.0625,3.14583,4.125,3.4375,3.14583
34,3.125,3.70833,3.5,3.54167,2.6875
35,1.91667,4.10417,3.64583,3.85417,2.70833
36,2.75,3.54167,3.54167,3.04167,3.20833
37,3.10417,3.47917,4.04167,3.70833,3.0625
38,3.02083,3.20833,3.83333,3.4375,2.75
39,2.16667,3.45833,3.5625,3.875,4
40,3.6875,3.5,3.875,3.41667,2.89583
41,2.20833,3.66667,3.72917,3.52083,3.25
42,2.10417,3.77083,3.22917,3.79167,3.64583
43,2.58333,3.6875,3.45833,3.47917,3.25
44,2.8125,3.375,3.25,3.875,3.04167
45,2.33333,4.1875,3.91667,4.125,3.125
46,3.04167,3.25,3.16667,3.4375,3.125
47,3.70833,3.72917,3.95833,3.0625,2.6875
48,3,3.35417,3.125,3.29167,3.22917
49,2.91667,3.5625,3.625,3.4375,3
50,2.77083,3.33333,3.27083,3.5625,3.60417
51,2.9375,4.22917,3.77,3.6875,2.625
