Subject,Gender,Region,Education,DesireToKill,InsectType
1,Female,North,some,6,"Lo D, Lo F"
1,Female,North,some,6,"Lo D, Hi F"
1,Female,North,some,9,"Hi D, Lo F"
1,Female,North,some,10,"Hi D, Hi F"
2,Female,North,advance,10,"Lo D, Lo F"
2,Female,North,advance,,"Lo D, Hi F"
2,Female,North,advance,10,"Hi D, Lo F"
2,Female,North,advance,10,"Hi D, Hi F"
3,Female,Europe,college,5,"Lo D, Lo F"
3,Female,Europe,college,10,"Lo D, Hi F"
3,Female,Europe,college,10,"Hi D, Lo F"
3,Female,Europe,college,10,"Hi D, Hi F"
4,Female,North,college,6,"Lo D, Lo F"
4,Female,North,college,9,"Lo D, Hi F"
4,Female,North,college,6,"Hi D, Lo F"
4,Female,North,college,9,"Hi D, Hi F"
5,Female,North,some,3,"Lo D, Lo F"
5,Female,North,some,6.5,"Lo D, Hi F"
5,Female,North,some,5.5,"Hi D, Lo F"
5,Female,North,some,8.5,"Hi D, Hi F"
6,Female,Europe,some,2,"Lo D, Lo F"
6,Female,Europe,some,0.5,"Lo D, Hi F"
6,Female,Europe,some,7.5,"Hi D, Lo F"
6,Female,Europe,some,3,"Hi D, Hi F"
7,Female,North,some,10,"Lo D, Lo F"
7,Female,North,some,10,"Lo D, Hi F"
7,Female,North,some,10,"Hi D, Lo F"
7,Female,North,some,10,"Hi D, Hi F"
8,Female,North,high,10,"Lo D, Lo F"
8,Female,North,high,10,"Lo D, Hi F"
8,Female,North,high,9,"Hi D, Lo F"
8,Female,North,high,10,"Hi D, Hi F"
9,Female,North,high,9.5,"Lo D, Lo F"
9,Female,North,high,9.5,"Lo D, Hi F"
9,Female,North,high,6,"Hi D, Lo F"
9,Female,North,high,10,"Hi D, Hi F"
10,Female,Other,high,8.5,"Lo D, Lo F"
10,Female,Other,high,10,"Lo D, Hi F"
10,Female,Other,high,7,"Hi D, Lo F"
10,Female,Other,high,,"Hi D, Hi F"
11,Male,North,some,0,"Lo D, Lo F"
11,Male,North,some,2.5,"Lo D, Hi F"
11,Male,North,some,0,"Hi D, Lo F"
11,Male,North,some,0,"Hi D, Hi F"
12,Male,North,some,9.5,"Lo D, Lo F"
12,Male,North,some,7.5,"Lo D, Hi F"
12,Male,North,some,8.5,"Hi D, Lo F"
12,Male,North,some,10,"Hi D, Hi F"
13,Female,North,less,7,"Lo D, Lo F"
13,Female,North,less,8.5,"Lo D, Hi F"
13,Female,North,less,6.5,"Hi D, Lo F"
13,Female,North,less,8.5,"Hi D, Hi F"
14,Female,North,some,3,"Lo D, Lo F"
14,Female,North,some,8,"Lo D, Hi F"
14,Female,North,some,4,"Hi D, Lo F"
14,Female,North,some,8.5,"Hi D, Hi F"
15,Male,North,some,4,"Lo D, Lo F"
15,Male,North,some,5,"Lo D, Hi F"
15,Male,North,some,6,"Hi D, Lo F"
15,Male,North,some,7,"Hi D, Hi F"
16,Male,North,high,7,"Lo D, Lo F"
16,Male,North,high,8.5,"Lo D, Hi F"
16,Male,North,high,8.5,"Hi D, Lo F"
16,Male,North,high,9,"Hi D, Hi F"
17,Male,North,some,2,"Lo D, Lo F"
17,Male,North,some,6,"Lo D, Hi F"
17,Male,North,some,10,"Hi D, Lo F"
17,Male,North,some,10,"Hi D, Hi F"
18,Female,North,high,7.5,"Lo D, Lo F"
18,Female,North,high,6,"Lo D, Hi F"
18,Female,North,high,7.5,"Hi D, Lo F"
18,Female,North,high,10,"Hi D, Hi F"
19,Female,North,some,6.5,"Lo D, Lo F"
19,Female,North,some,6,"Lo D, Hi F"
19,Female,North,some,10,"Hi D, Lo F"
19,Female,North,some,10,"Hi D, Hi F"
20,Female,North,some,7,"Lo D, Lo F"
20,Female,North,some,9,"Lo D, Hi F"
20,Female,North,some,8.5,"Hi D, Lo F"
20,Female,North,some,9.5,"Hi D, Hi F"
22,Female,North,some,3,"Lo D, Lo F"
22,Female,North,some,4.5,"Lo D, Hi F"
22,Female,North,some,5,"Hi D, Lo F"
22,Female,North,some,9.5,"Hi D, Hi F"
23,Female,Austral,some,2.5,"Lo D, Lo F"
23,Female,Austral,some,9.5,"Lo D, Hi F"
23,Female,Austral,some,4.5,"Hi D, Lo F"
23,Female,Austral,some,7.5,"Hi D, Hi F"
24,Female,North,less,10,"Lo D, Lo F"
24,Female,North,less,10,"Lo D, Hi F"
24,Female,North,less,9,"Hi D, Lo F"
24,Female,North,less,10,"Hi D, Hi F"
25,Male,Europe,high,0,"Lo D, Lo F"
25,Male,Europe,high,1.5,"Lo D, Hi F"
25,Male,Europe,high,4,"Hi D, Lo F"
25,Male,Europe,high,1.5,"Hi D, Hi F"
26,Female,Europe,some,0.5,"Lo D, Lo F"
26,Female,Europe,some,0.5,"Lo D, Hi F"
26,Female,Europe,some,4.5,"Hi D, Lo F"
26,Female,Europe,some,5.5,"Hi D, Hi F"
27,Female,North,less,5,"Lo D, Lo F"
27,Female,North,less,7.5,"Lo D, Hi F"
27,Female,North,less,3.5,"Hi D, Lo F"
27,Female,North,less,10,"Hi D, Hi F"
29,Female,Other,some,6.5,"Lo D, Lo F"
29,Female,Other,some,5,"Lo D, Hi F"
29,Female,Other,some,10,"Hi D, Lo F"
29,Female,Other,some,10,"Hi D, Hi F"
30,Female,North,some,8,"Lo D, Lo F"
30,Female,North,some,9,"Lo D, Hi F"
30,Female,North,some,8,"Hi D, Lo F"
30,Female,North,some,8,"Hi D, Hi F"
31,Female,North,some,3,"Lo D, Lo F"
31,Female,North,some,10,"Lo D, Hi F"
31,Female,North,some,7.5,"Hi D, Lo F"
31,Female,North,some,6,"Hi D, Hi F"
32,Male,Europe,some,7.5,"Lo D, Lo F"
32,Male,Europe,some,7,"Lo D, Hi F"
32,Male,Europe,some,6.5,"Hi D, Lo F"
32,Male,Europe,some,10,"Hi D, Hi F"
33,Male,North,some,6.5,"Lo D, Lo F"
33,Male,North,some,10,"Lo D, Hi F"
33,Male,North,some,10,"Hi D, Lo F"
33,Male,North,some,4,"Hi D, Hi F"
34,Male,Europe,college,4.5,"Lo D, Lo F"
34,Male,Europe,college,8.5,"Lo D, Hi F"
34,Male,Europe,college,8.5,"Hi D, Lo F"
