Subj,Items,Scores
0,Q1,3
1,Q1,5
2,Q1,7
3,Q1,2
4,Q1,6
5,Q1,1
6,Q1,4
7,Q1,2
8,Q1,6
9,Q1,5
10,Q1,4
11,Q1,4
12,Q1,5
13,Q1,6
14,Q1,4
0,Q2,2
1,Q2,4
2,Q2,3
3,Q2,4
4,Q2,5
5,Q2,2
6,Q2,3
7,Q2,4
8,Q2,5
9,Q2,4
10,Q2,3
11,Q2,2
12,Q2,5
13,Q2,5
14,Q2,3
0,Q3,4
1,Q3,6
2,Q3,5
3,Q3,3
4,Q3,6
5,Q3,3
6,Q3,5
7,Q3,4
8,Q3,5
9,Q3,6
10,Q3,5
11,Q3,3
12,Q3,6
13,Q3,5
14,Q3,5
0,Q4,1
1,Q4,3
2,Q4,5
3,Q4,3
4,Q4,5
5,Q4,4
6,Q4,3
7,Q4,3
8,Q4,5
9,Q4,4
10,Q4,2
11,Q4,2
12,Q4,2
13,Q4,4
14,Q4,5
0,Q5,4
1,Q5,5
2,Q5,6
3,Q5,2
4,Q5,4
5,Q5,2
6,Q5,5
7,Q5,7
8,Q5,1
9,Q5,3
10,Q5,5
11,Q5,5
12,Q5,3
13,Q5,2
14,Q5,3
0,Q6,5
1,Q6,1
2,Q6,4
3,Q6,2
4,Q6,4
5,Q6,5
6,Q6,2
7,Q6,2
8,Q6,6
9,Q6,5
10,Q6,3
11,Q6,3
12,Q6,3
13,Q6,2
14,Q6,1
0,Q7,1
1,Q7,2
2,Q7,3
3,Q7,2
4,Q7,4
5,Q7,2
6,Q7,1
7,Q7,2
8,Q7,5
9,Q7,3
10,Q7,2
11,Q7,4
12,Q7,2
13,Q7,1
14,Q7,3
0,Q8,4
1,Q8,5
2,Q8,3
3,Q8,6
4,Q8,6
5,Q8,3
6,Q8,2
7,Q8,4
8,Q8,2
9,Q8,1
10,Q8,3
11,Q8,2
12,Q8,4
13,Q8,4
14,Q8,2
0,Q9,3
1,Q9,5
2,Q9,6
3,Q9,6
4,Q9,7
5,Q9,5
6,Q9,4
7,Q9,6
8,Q9,3
9,Q9,7
10,Q9,4
11,Q9,3
12,Q9,4
13,Q9,6
14,Q9,3
0,Q10,2
1,Q10,5
2,Q10,5
3,Q10,3
4,Q10,5
5,Q10,2
6,Q10,3
7,Q10,5
8,Q10,2
9,Q10,2
10,Q10,1
11,Q10,4
12,Q10,5
13,Q10,5
14,Q10,4
