Scores,Time,Group,Subject
5.971435163732493,August,Control,0
4.309024305293535,August,Control,1
6.932706968426097,August,Control,2
5.187348103908287,August,Control,3
4.779411266634988,August,Control,4
6.387162940307738,August,Control,5
6.359588413717416,August,Control,6
4.863476495582651,August,Control,7
5.515696372114429,August,Control,8
3.2573150458145945,August,Control,9
6.650035724719818,August,Control,10
6.4919460223426775,August,Control,11
6.45332412811243,August,Control,12
3.4787451798050295,August,Control,13
5.165922634191903,August,Control,14
5.502118364683486,August,Control,15
5.905453411570191,August,Control,16
5.789091940980035,August,Control,17
6.821158192129386,August,Control,18
3.95309444677076,August,Control,19
5.297353675370818,August,Control,20
4.844030655861066,August,Control,21
5.693421376470358,August,Control,22
6.053438910956742,August,Control,23
6.818151554180137,August,Control,24
5.0306947152941,August,Control,25
6.175554085122381,August,Control,26
3.6829727734098032,August,Control,27
5.316891459821001,August,Control,28
6.558969187571151,August,Control,29
5.102159771800008,January,Control,0
5.837437653613972,January,Control,1
6.547578572892721,January,Control,2
6.545938255627665,January,Control,3
6.363717291684838,January,Control,4
5.3779084251523255,January,Control,5
5.624712953768216,January,Control,6
5.177205194391704,January,Control,7
6.3416747129961415,January,Control,8
7.890960515463033,January,Control,9
5.576199587837237,January,Control,10
4.9335540695350435,January,Control,11
5.536141936684072,January,Control,12
3.4250223993099707,January,Control,13
5.747792199748547,January,Control,14
4.602843215560301,January,Control,15
5.363205166738653,January,Control,16
5.518289191349219,January,Control,17
6.255413982398135,January,Control,18
5.715268580969443,January,Control,19
6.341008794931391,January,Control,20
4.054189922955693,January,Control,21
4.098026718499156,January,Control,22
5.3990818000510865,January,Control,23
4.951757550813145,January,Control,24
5.355380491630616,January,Control,25
5.854020332199238,January,Control,26
5.46448697472186,January,Control,27
6.065738306062595,January,Control,28
7.045658804625558,January,Control,29
4.525763666232685,June,Control,0
5.429655122895897,June,Control,1
5.807968855216034,June,Control,2
5.2915012368941206,June,Control,3
6.533800732555499,June,Control,4
3.0995463661877043,June,Control,5
7.5306036208388,June,Control,6
4.357368710977236,June,Control,7
5.711883386777701,June,Control,8
6.204720624317109,June,Control,9
4.714564788236803,June,Control,10
5.962059737162049,June,Control,11
6.204228225462174,June,Control,12
